architecture,w_bits,a_bits,d,p,p_L,model_size_kb,inference_latency_ms
CNN,32,2,5,0.01,0.05054,1307.08,38.46
RCNN,32,2,5,0.01,0.03522,2429.73,32.05
CNN,32,4,5,0.01,0.05369,1307.08,37.41
RCNN,32,4,5,0.01,0.03007,2429.73,44.99
CNN,32,8,5,0.01,0.05197,1307.08,57.22
RCNN,32,8,5,0.01,0.02938,2429.73,44.4
CNN,32,32,5,0.01,0.05465,1307.08,66.69
RCNN,32,32,5,0.01,0.03064,2429.73,36.91
